title,authors,year,doi,journal,abstract,cited_by_count,type,open_access,url,openalex_id,assessment_tasks
Utilizing Advanced Modelling for Fire Damage Assessment of Reinforced Concrete Tunnel Linings,Nan Hua; Negar Elhami Khorasani; Anthony Tessari,2023,10.1080/10168664.2022.2161440,Structural Engineering International,"Fire hazards can cause severe and irrecoverable damage to reinforced concrete (RC) tunnel linings. Historically, major fire events have led to months of downtime and millions of dollars of losses owing to repair costs and affected operations. The potential threat to the serviceability of transportation networks emphasizes the need to establish a standardized and effective post-fire damage assessment method to guide repairs and restore functionality. This paper proposes a fire damage assessment framework for RC tunnel linings that integrates advanced modeling with visual inspections, non-destructive testing and material sampling. The framework quantifies fire damage to RC tunnel linings in terms of surface discoloration, crack width, concrete spalling, sectional temperatures, strength loss of materials and residual displacement. A damage classification system is proposed based on a collection of international guidelines and feedback from industry experts to map damage metrics and repair strategies. A case study, using data from recent experiments, is conducted to demonstrate the applicability of the proposed framework and the benefits of the information obtained from numerical modeling. This framework can also be integrated with risk-assessment methods to optimize the fire design of tunnels with associated active and/or passive fire protection.",10,article,False,https://doi.org/10.1080/10168664.2022.2161440,https://openalex.org/W4321495844,Tasks: defects
"Corrosion inhibitors for enhanced strength, durability, and microstructure of coastal concrete structures",Smrithy Subash; Lukesh Parida; Utsav Singh; Sumedha Moharana,2023,10.1088/2053-1591/ace75c,Materials Research Express,"Abstract The prevalence of catastrophic structural member failure caused by steel corrosion in civil infrastructure underscores the importance of reducing reinforcement corrosion to enhance overall infrastructure costs, reliability, and sustainable development. The present research investigates the potential of corrosion inhibitors to enhance the durability and strength of concrete structures, with a focus on their long-term effectiveness in resisting corrosion in reinforced concrete structures. Multiple approaches such as inhibitors, repairing processes, and coatings have been explored to prevent concrete corrosion damage, with an emphasis on concrete corrosion performance in coastal and corrosive situations. This study investigates the effect of six different corrosion inhibitors (zinc oxide, magnesium oxide, urea, sodium nitrate, sodium molybdate, and diethyl ether) on the compressive strength and durability of concrete samples. The compressive strength is assessed using both destructive (28 days cube compressive strength) and non-destructive (Ultrasonic Pulse Velocity) test methods, while concrete durability is evaluated using the rapid chloride permeability test (RCPT). The compressive strength of the admixture incorporated samples are found to be higher than the control sample by almost 50% and above with excellent concrete quality. The RCPT values of inhibitor-incorporated samples are moderate and low with control samples having high permeability even in adverse conditions of freezing, thawing, and deicing. The samples incorporated with inhibitors also show less negative half-cell potential which is 1.43 times less than that of the control sample indicating the lesser probability of occurrence of corrosion. SEM imaging is also conducted to analyze the microstructure of each mix. The findings of this study highlight the importance of inhibitors in enhancing the durability of reinforced concrete structures.",10,article,True,https://doi.org/10.1088/2053-1591/ace75c,https://openalex.org/W4384153948,Tasks: strength
Experimental and statistical investigation on synergistic effect of nano based epoxy hybrid FRP on strength and durability of circular concrete columns,Lakshmi Joseph; P. Sarath Kumar; Eluri Kalyana Chakravarthi; Asheer Mogal; Karingamanna Jayanarayanan,2023,10.1016/j.dibe.2023.100163,Developments in the Built Environment,"Strengthening and retrofitting of concrete structures using fiber reinforced polymer (FRP) wrapping is a promising technique in construction sector. Epoxy is the commonly used matrix which possess a higher rate of degradation under exposure to harsh environment. The evaluation of strength and durability of concrete cylinders confined by multi walled carbon nanotube (MWCNT) incorporated epoxy with hybrid sisal and basalt fiber composite systems exposed to various environmental conditions forms focus of this paper. Specimens are subjected to various environmental exposure such as elevated temperature, acidic, alkaline and sea water conditions. Two varieties of epoxy viz. neat epoxy and MWCNT modified epoxy systems are considered. Mechanical and durability properties are analyzed based on axial compressive behavior, stress strain response, visual inspection and modes of failure. The MWCNT incorporated epoxy based hybrid FRP confined specimens exhibited a strength reduction less than 10% when compared with unexposed confined specimens under aggressive environmental conditions, while unconfined specimens showed strength reduction by 40% when compared to unexposed unconfined specimens. The MWCNT modified epoxy based hybrid confinement showed an energy absorption of 6.24 times that of unconfined specimens upon chemical exposure. Ultrasonic Pulse Velocity test revealed efficacy of confinement system in protecting concrete core from a sudden failure, which in turn increases the compressive strength of system. A statistical analysis using ANOVA was employed to find significance of these factors and confirmed with experimental results. The effect of MWCNT incorporation is significant in FRP confinement and shows the possibility of the FRP system to be adopted as a major retrofitting material in alkaline and sea water environments.",10,article,True,https://doi.org/10.1016/j.dibe.2023.100163,https://openalex.org/W4366498135,Tasks: strength
Development of a New Nondestructive Method for the In-Situ Determination of Mortar Strength,Jiří Žalský; Miroslav Vokáč; Milan Hrabánek; Karel Hurtig,2023,10.3390/buildings13020273,Buildings,"The determination of the load bearing capacity of masonry in existing structures is not an easy task, even for experienced surveyors. For its assessment, it is necessary to know the compressive strength of the masonry units and mortar. Relatively good destructive and non-destructive methods were developed for the determination of the compressive strength of masonry units. However, mortar compressive strength determination is currently closer to a rough estimation rather than a deterministic approach. All of the currently used methods are either complicated, have a limited application, or are based on the surveyor’s experience only. Influence of the human factor on the results of testing is significant. The paper introduces the development of a new non-destructive method, which eliminates the influence of the human factor. The method is supposed to work as quickly and as easily as the Schmidt hammer used for concrete structure surveys. The new instrument was created where the compressive strength of mortar is assessed by hammering a steel bar into a joint with constant energy, while the depth of penetration is measured. The impact energy is provided by a steel spring with a prescribed stiffness, and the loading is provided by an automatic system similar to those used in air-soft guns.",10,article,True,https://doi.org/10.3390/buildings13020273,https://openalex.org/W4317042584,Tasks: strength
Experimental Evaluation of Shape Memory Alloy Retrofitting Effect for Circular Concrete Column Using Ultrasonic Pulse Velocity,Taemin Lee; Saebyeok Jeong; Ukyong Woo; Hajin Choi; Donghyuk Jung,2023,10.1186/s40069-022-00574-0,International Journal of Concrete Structures and Materials,"Abstract The seismic performance of a concrete column retrofitted with an iron-based shape memory alloy (Fe-SMA) was evaluated under cyclic loading. In addition to structural behavior, internal damage was monitored using an ultrasonic pulse velocity test. The round shapes of three reinforced concrete (RC) columns were tested: a non-retrofitted RC column as a control, a carbon fiber-reinforced polymer (CFRP) column, and an Fe-SMA retrofitted column. During the cyclic loading test, the degradation of the column was defined based on the decrease in compressional wave velocities. The experimental results demonstrated a maximum improvement of 175% in seismic performance of the Fe-SMA retrofitted RC column compared with the controlled column. This is primarily owing to the active constraints of the SMA, which were quantified based on ultrasonic velocities. Furthermore, the surface degradation process was identified using external cracks, which were not visible in the CFRP retrofitted RC column.",9,article,True,https://doi.org/10.1186/s40069-022-00574-0,https://openalex.org/W4321605357,Tasks: defects
Quantifying the impact of parameters of chloride-induced reinforcement corrosion on the GPR signal,Ksenija Tešić; Ana Baričević; Marijana Serdar; Nenad Gucunski,2023,10.1016/j.conbuildmat.2023.132594,Construction and Building Materials,"The sensitivity of the high-frequency ground penetrating radar (GPR) signal to changes within the reinforced concrete (RC) makes it a valuable tool for corrosion assessment of RC structures. The most important parameters in chloride-induced corrosion are moisture content, chloride content, and reinforcement diameter loss. The objective of this laboratory study was to investigate and quantify the influence of these parameters on the GPR signal. Of particular interest was to determine which of the observed parameters the GPR is most sensitive to. Furthermore, particular emphasis was placed on understanding the influence of corrosion products, which has not met the consensus in the existing literature. The parameters were studied on a total of forty-two specimens where the reflector of the GPR waves was the reinforcement embedded in the concrete specimen. Based on the experimental data, values of normalized amplitude related to the evaluation of corrosion by GPR were proposed.",8,article,True,https://doi.org/10.1016/j.conbuildmat.2023.132594,https://openalex.org/W4385321121,"Tasks: deterioration, moisture"
Research on the Rebound Hammer Testing of High-Strength Concrete’s Compressive Strength in the Xinjiang Region,Jinming Chen; Qiang Jin; Baoli Dong; Cun Dong,2023,10.3390/buildings13122905,Buildings,"Enhancing the assessment of compressive strength and the efficiency of rebound hammers in non-destructive testing for high-strength concrete is an urgent issue in construction engineering. This study involved C50 to C90 high-strength concrete specimens, utilizing rebound hammers with nominal energies of 4.5 J and 5.5 J, along with a compression machine. A regression analysis was performed on the compressive strength and rebound values, resulting in linear, polynomial, power, exponential, and logarithmic equations for two different types of rebound hammers. Additionally, the precision of rebound hammers with different nominal energies and the representativeness of various rebound representative values in the measurement area were investigated. The experimental results indicate that the precision of the regionally representative strength curve in Xinjiang meets national specifications. The 4.5 J nominal energy rebound hammer exhibited a higher testing accuracy. When reducing the high-strength concrete measurement area’s rebound representative values from 16 to 14, 12, and 10, the coefficients of variation for the different rebound representative values were mostly below 10%. Within high-strength concrete structures, the strength curve formula derived from rebound representative value 16 is equally applicable to 14, 12, and 10. In practical engineering applications, prioritizing 10 ensures testing accuracy while reducing on-site testing efforts. The outcomes of this experiment establish a foundation for the development and promotion of rebound method-testing technology for high-strength concrete in Xinjiang.",8,article,True,https://doi.org/10.3390/buildings13122905,https://openalex.org/W4388857810,Tasks: strength
Usability of sustainable materials on bacteria-based self-healing in cementitious systems,Şemsi Yazıcı; Canberk Güller; Burcu Ayekin; Ali Mardani; Alper Akkaya,2023,10.1177/1045389x231157358,Journal of Intelligent Material Systems and Structures,"Damage and loss of strength resulting from deterioration in concrete structures are extremely expensive and time-consuming processes that require improvement. Therefore, special concrete demand to respond to crack formation with its self-healing action leads to microbial concrete research and development. In this study, the effects of bacterial utilization on both mechanical/physical properties of the recycled concrete aggregates (RCA) containing mortar mixtures and the crack-healing were investigated. Bacillus subtilis bacteria were cultivated on three different nutrient media, Tryptic Soy Broth, Modify Luria-Bertani, and urea-calcium phosphate, and then encapsulated in RCA with these nutrient media. Twenty-one different mortar mixtures were prepared by partially replacement of bacterial RCA with the limestone one. The compressive and flexural strengths as well as ultrasonic pulse velocity of mortar mixtures were determined. Also, physical properties of the mortar mixtures such water absorption, capillarity and total void ratio were obtained. It was observed that the physical and mechanical properties of the mortar mixtures containing less than 30% RCA are significantly healed by CaCO 3 precipitated by bacteria. The results showed that that urea and Ca 2+ in the nutrient media increase the CaCO 3 precipitation efficiency of bacteria, but glucose in the media causes foaming in the mixtures and creates a hollow structure. The study also indicated that microorganisms had a positive role not only in the concrete strength increasing but also in facilitating the self-healing of cracks. It was observed that the cracks formed up to 0.3 mm in the bacterial mortar mixtures were mostly closed in 7 days.",7,article,False,https://doi.org/10.1177/1045389x231157358,https://openalex.org/W4327735555,Tasks: strength
Innovative Engineering Strategies for Evaluating and Repairing Concrete Cracks An Applied Perspective,Ahmed Saleh; Muhammad Asif Zahoor Raja,2023,10.58496/mjce/2023/009,Mesopotamian journal of civil engineering.,"Condition of concrete cracking is a worrying issue in any construction industry, as it affects the durability and the performance of various structures as well as their expected lifespan. This research focuses on discussing new engineering approaches effective for assessing and rehabilitating concrete cracks from an applied standpoint. The findings also reflect the recent scientific developments in crack evaluation methodologies including Non-Destructive Testing (NDT) and technological imaging methods. The work also analyses a variety of repair solutions, starting with conventional ones, for example epoxy injection, up to contemporary solutions including self-healing concrete and fiber reinforced polymers or FRPs. Examining the effectiveness of the techniques, this work presents different approaches based on the result of elementary analysis and case study and defines factors which impact the result significantly. The results show that by using an approach of incorporating evaluation and repair techniques best suited to an identified structure’s requirement, it is possible to improve the structure’s future performance and service life. Further, the study identifies current issues, which are cost, scalability and sustainability, and lastly, comes up with the future research and development directions. It would be an invaluable reference work for all the engineers, scientist, and policy makers aspiring to construct better and robust concrete structures.",6,article,True,https://doi.org/10.58496/mjce/2023/009,https://openalex.org/W4405255276,Tasks: deterioration
Stochastic Multiphasic Multivariate State-Based Degradation and Maintenance Meta-Models for RC Structures Subject to Chloride Ingress,Boutros El Hajj; Bruno Castanier; Franck Schoefs; Emilio Bastidas‐Arteaga,2023,10.3390/infrastructures8020036,Infrastructures,"The objective of this paper is to propose tools for the lifecycle management of infrastructure by showing the slow degradation processes for which inspection data are accessible, especially the data obtained from non-destructive testing (NDT) and structural health monitoring (SHM). One major characteristic of these degradation processes is their multiphasic nature; consequently, they can be discretised into different phases with specific physical kinematics where specific maintenance actions and measurement techniques can be performed. Within this framework, we propose implementing a degradation meta-modelling approach fed with measurements (NDT, SHM). This approach is based on state-dependent stochastic processes for modelling the degradation and maintenance of reinforced concrete structures that are subjected to chloride-induced deterioration. The benefit of using multiphasic degradation meta-models in the lifecycle management of infrastructure is illustrated through numerical examples that include single and multi-action management policies.",6,article,True,https://doi.org/10.3390/infrastructures8020036,https://openalex.org/W4321106564,Tasks: deterioration
Applicability of available NDT methods for damage detection in concrete elements reinforced or strengthened with FRP,Pranit Malla; Seyed Saman Khedmatgozar Dolati; Armin Mehrabi; Jesus Ortiz Polanco; Antonio Nanni,2023,10.3233/brs-230217,Bridge Structures,"The application of Fiber Reinforced Polymer (FRP) materials in concrete structures has been rising due to their several advantages, including lightweight, high tensile strength, ease of installation, and corrosion resistance. They have been mostly implemented for strengthening and repairing existing structures in the form of an externally bonded system, i.e., sheet, jacket, near surface mounted. Furthermore, they have been recently utilized as internal reinforcement of concrete elements in the form of strands, bars, tendons, etc. Although higher durability and performance are associated with the FRP material in some aspects compared to steel, concerns remain regarding damages and defects in this material, many of which are related to their unique features. Importantly, debonding of FRP materials from a concrete surface or within a concrete element has always been an issue resulting in the premature failure of the structure. To this end, concrete elements strengthened or reinforced with FRP materials has to be inspected periodically to detect potential issues and hence prevent any premature failures. This study first determines all possible or potential damages and anomalies attributed to FRP reinforced/strengthened concrete (FRP-RSC) elements. It then investigates Non-Destructive Testing (NDT) methods that can be applicable to the inspection of FRP-RSC elements from a literature survey of past studies, applications, and research projects. Furthermore, this study evaluates the ability of two of the most commonly used NDT methods, Ground Penetrating Radar (GPR) and Phased Array Ultrasonic (PAU), in detecting FRP bars/strands embedded in concrete elements. GPR and PAU tests were performed on two slab specimens reinforced with GFRP (Glass-FRP) bars, the most commonly used FRP bar, with variations in their depth, size and configuration, and a slab specimen with different types of available FRP reinforcements. The results of this study propose the most applicable methods for detecting FRP and their damage/defects in FRP-RSC elements. This study further investigates the feasibility of two new methods for improving the detectability of embedded FRP bars. By providing the inspection community with more clarity in the application of NDT to FRP, this study offers means for verifying the performance and, therefore, help the proliferation of FRP materials in concrete structures.",6,article,False,https://doi.org/10.3233/brs-230217,https://openalex.org/W4389947029,"Tasks: strength, defects"
Mechanical performance of 100% recycled aggregate concrete (RAC) bricks,Rashid Hameed; Maryam Imran; M. Irtaza Hassan; Khadija Khadija; Eman Arshad,2023,10.7764/rdlc.22.1.203,,"Urbanization and modern development of expanding infrastructure have resulted in large construction activities. With the expeditious growth in the construction industry, the rate of demolition has also increased. This is causing considerable increase in Construction and Demolition (C&amp;D) waste all around the globe. To minimize its impact on society and environment, preventive measures are required to be taken on urgent basis, and for this reason construction industry has proposed the use of recycle concrete aggregates in different applications and there is dire need to investigate experimentally the properties of concrete products made using Recycled Aggregate Concrete (RAC). In this regard, this study focused to investigate the mechanical properties of 100% RAC bricks prepared with two different compositions with respect to coarse to fine aggregates ratio (i.e., 70:30 and 60:40), cement dosage (i.e., 10% and 15% by weight of total aggregates) and casting pressure (i.e., 25 MPa and 35 MPa). Recycled concrete aggregates required for this study were produced by crushing tested concrete samples having compressive strength of 21 MPa to 28 MPa. Mechanical tests were performed on bricks to determine their compressive strength, flexural strength, shear strength, impact energy in compression and flexure. In addition to these destructive tests, non-destructive (rebound hammer and ultra-sonic pulse velocity) tests were also performed. To draft a comparison, Natural Aggregate Concrete (NAC) bricks and first class burnt clay bricks were also tested. The results indicated that the compressive strength of NAC bricks was about 30% higher than the compressive strength of RAC bricks. However, RAC bricks exhibited higher compressive strength as compared to burnt-clay bricks. The flexural strength of RAC bricks containing 60% coarse aggregates and 40% fine aggregates and RAC bricks containing 70% coarse aggregates and 30% fine aggregates was found to be almost similar but their flexure strength was 37.3% and 20.7% lesser than their corresponding NAC bricks. Flexure strength of RAC bricks and burnt clay bricks was found to be almost same. Qualitative assessment by ultrasonic pulse velocity (UPV) tests showed that the NAC and RAC bricks were of good quality as per the standard criteria. The findings of this study indicated that RAC bricks satisfied the strength requirements as stated by local and international standards. Further, RAC bricks performed better than commonly used first class burnt clay bricks. Production and use of RAC bricks in masonry structures will not only help to conserve the depleting resources of natural aggregates and clay but also help to protect our environment from pollution by reducing CO2 emission caused by the coal-burning as fuel in kilns for the manufacturing of burnt-clay bricks.",6,article,True,https://doi.org/10.7764/rdlc.22.1.203,https://openalex.org/W4375827625,Tasks: strength
Corrosion Assessment Methods in Reinforced Cement Concrete,R. Dineshkumar; R. Naveen Kumar; Sudharsan Parthasarathy; P Kavin; G Mohanaprasath,2023,10.1051/e3sconf/202339903002,E3S Web of Conferences,"Worldwide huge amount was spent on infrastructure development projects, in which a major part is spent on demolishing deteriorated structures due to their reduction in serviceability due to various external factors. This may be attained by preventing reinforced cement concrete (RC) structures from factors that affect serviceability such as corrosion. The research community is developing various techniques to predict corrosion in RC structures to prevent the structure in the initial stages by carrying out maintenance work instead of going for the reconstruction of deteriorated structures. The corrosion of RC structures was mainly caused by chloride ions penetrating the structure or by carbonation. This coefficient can be used to predict the rate of corrosion in concrete. Electrochemical measurement, Eddy current, Half-cell potential measurement, etc., are the experimental techniques to forecast the corrosion rate in concrete reviewed. Recently various software’s like Life 365, Thermos calc, Concrete Compass, etc., were developed to predict the corrosion rate in RC structures. This research paper reviews the effectiveness of the application of software to predict corrosion rate in RC structures by reviewing previous research works to identify an accurate method to be followed.",5,article,True,https://doi.org/10.1051/e3sconf/202339903002,https://openalex.org/W4384571518,Tasks: deterioration
Quantification of Humidity and Salt Detection in Historical Building Materials via Broadband Radar Measurement,Oliver Blaschke; Felix Brand; Klaus Stefan Drese,2023,10.3390/s23104616,Sensors,"For the investigation of moisture and salt content in historic masonry, destructive drilling samples followed by a gravimetric investigation is still the preferred method. In order to prevent the destructive intrusion into the building substance and to enable a large-area measurement, a nondestructive and easy-to-use measuring principle is needed. Previous systems for moisture measurement usually fail due to a strong dependence on contained salts. In this work, a ground penetrating radar (GPR) system was used to determine the frequency-dependent complex permittivity in the range between 1 and 3 GHz on salt-loaded samples of historical building materials. By choosing this frequency range, it was possible to determine the moisture in the samples independently of the salt content. In addition, it was possible to make a quantitative statement about the salt level. The applied method demonstrates that with ground penetrating radar measurements in the frequency range selected here, a salt-independent moisture determination can be carried out.",5,article,True,https://doi.org/10.3390/s23104616,https://openalex.org/W4376115267,Tasks: moisture
Condition and characterization analysis of a twentieth century cultural heritage through non-destructive testing (NDT) methods: the case of the Sivas industry school ironworking atelier in Turkey,Gamze Fahriye Pehlivan,2023,10.1186/s40494-023-00889-5,Heritage Science,"Abstract Before the conservation and restoration of many types of cultural heritage, it is necessary to perform careful examination. This study aimed to determine the original building state and deterioration by applying non-destructive testing (NDT) methods in the case of a heritage building. Another goal was to determine, via NDT methods, whether the limestones observed in this study of different forms, colours, and textures were truly different. The Sivas Industry School Ironworking Atelier, which constitutes the research object, is one of the important public buildings in the city of Sivas, Turkey. Within the scope of the study, non-destructive infrared thermography (IRT), Schmidt hammer rebound (SHR) tests, and X-ray fluorescence (XRF) spectroscopy were applied. Accordingly, through IRT, deteriorations, anomalies, and material differences were investigated, and via SHR testing, uniaxial compressive strength (UCS) estimates, strength levels and hardness classes of stones were obtained. Moreover, via XRF spectroscopy, characterization analysis of stones was conducted. The data obtained could provide information to establish a basis for subsequent conservation. The innovation of this study is that although the infrared thermography technique is typically used in the investigation of materials, it was revealed that another technique such as XRF analysis is needed to better determine whether stones that seem different based on IRT are actually different. With IRT technique, anomaly and material detorioration can be determined. In addition to these two techniques, SHR tests that are non-destructive methods are needed to think about mechanical features of the material. Therefore, when determining the conditions and for characterization analysis of a cultural heritage before restoration, different techniques should be jointly used to complement each other.",5,article,True,https://doi.org/10.1186/s40494-023-00889-5,https://openalex.org/W4360991108,Tasks: strength
Automated honeycomb detection during Impact Echo inspections in concrete using AI trained by simulation data,Florian Dethof; Sylvia Keßler; Helmut-Schmidt-University/ University of the Federal Armed Forces Hamburg; Sylvia Kessler,2023,10.58286/28149,Research and Review Journal of Nondestructive Testing,"The Impact Echo method is well established in the civil engineering world of NDT for defect detection and thickness estimation in thick and highly reinforced concrete structures. For most applications of Impact Echo however, only the resonance frequency of the measured time signal is evaluated, meaning that most information is neglected. Here, artificial intelligence (AI) in the form of machine learning can help to classify signals based on multiple input parameters and therefore make use of the additional information stored in the measured signals. As the most powerful classification models need labelled input data, this usually marks a problem since labelled NDT data sets are rarely available for concrete structures. One solution to overcome this problem is the use of numerical simulations. In the past, numerical simulations showed that they are capable to produce realistic synthetic data for Impact Echo testing in concrete specimens. In this study, numerical simulations of Impact Echo measurements were conducted using the Elastodynamic Finite Integration technique (EFIT) to create training data for machine learning models. The measurements were carried out on two concrete specimens (17 cm and 50 cm thickness) containing honeycombs. Using the simulation data, multi-layer perceptron (MLPNN) and convolutional neural networks (CNN) are trained and tested on measured data from each specimen for performance. Results showed that an accurate honeycomb detection using machine learning was only possible in some cases with many false alarms arising near the specimen edges.",4,article,True,https://doi.org/10.58286/28149,https://openalex.org/W4385391018,Tasks: defects
An assessment of rebound hammer test in estimating the concrete compressive strength in seawater,Philip Jun S. Celerinos; Patrick Miguel Dedel; Neydis Córdova Fernández; Kathleen Ira Muñoz; Fatima Alaiizza Suelan,2023,10.17515/resm2023.712me0321,Research on Engineering Structures and Materials,"Currently, there is a need to assess the structural integrity of concrete structures situated near or within seawater in a faster manner using a rebound hammer test.However, this test is limited to its reliability, particularly if the rebound hammer device has not been calibrated according to its specific tested environment.Hence, this study assessed the reliability of the rebound hammer test in the compressive strength estimation of concrete cured in a specific environmental condition.As such-the seawater environment, the seawater in a controlled area, and the potable water stored in a normal room condition were the environmental conditions that were considered in the study.Results showed that the rebound hammer test consistently underestimated the direct compression test in three (3) environmental conditions.It was found that the underestimated compressive strength errors ranged from 15.22% to 59% in seawater environment, 33.33% to 58.33% in seawater in a controlled area, and 37.70% to 57.57% in potable water stored in a normal room condition, respectively.Furthermore, this study also established a rebound correlation model, both graphical curve and empirical equation, which can be the basis for concrete compressive strength estimation cured in three (3) different environments.",3,article,True,https://doi.org/10.17515/resm2023.712me0321,https://openalex.org/W4376472994,Tasks: strength
Quantitative Detection of Corrosion State of Concrete Internal Reinforcement Based on Metal Magnetic Memory,Zhongguo Tang; Haijin Zhuo; Beian Li; Xiaotao Ma; Siyu Zhao,2023,10.32604/sdhm.2023.026033,Structural durability & health monitoring,"Corrosion can be very harmful to the service life and several properties of reinforced concrete structures. The metal magnetic memory (MMM) method, as a newly developed spontaneous magnetic flux leakage (SMFL) non-destructive testing (NDT) technique, is considered a potentially viable method for detecting corrosion damage in reinforced concrete members. To this end, in this paper, the indoor electrochemical method was employed to accelerate the corrosion of outsourced concrete specimens with different steel bar diameters, and the normal components BB<sub>z</sub> and its gradient of the SMFL fields on the specimen surfaces were investigated based on the metal magnetic memory (MMM) method. The experimental results showed that the SMFL experimental BB<sub>z</sub> curves are consistent with the analytical results of the theoretical model. Furthermore, the crest-to-trough behavior on the B<sub>z</sub> signal curve and its zero-point gradient spacing can more accurately indicate the corroded area's extent. Then, a magnetic characteristic parameter W based on a large amount of experimental data was established to characterize the degree of corrosion of the steel bars. The magnetic characteristic parameter W is linearly related to the maximum cross-sectional area loss rate η of the corroded reinforcement. This paper will lay the foundation for future research on corrosion detection of reinforced concrete structures based on the MMM method and provide a feasible way for non-destructive detection of corrosion independent of the influence of reinforcement diameter and magnetization history.",3,article,True,https://doi.org/10.32604/sdhm.2023.026033,https://openalex.org/W4385319217,Tasks: deterioration
Ways to unlock the potential of non-destructive concrete testing for the reliability assessment of our built environment,Stefan Küttenbaum; Stefan Maack; Norman Aßmann; Sascha Feistkorn,2023,10.1117/12.2658736,,"Sustainability efforts and global climate targets coincide with degradation of the built environment. Changes in use, increasing loads, and—especially in transport infrastructure— sharply rising traffic flows are encountering an infrastructure that has largely reached or exceeded its service life. During the entire lifecycle of structures and materials, the engineer needs to decide which action(s) are optimal, e.g., most eco-efficient at what time. This decision-making process is based on the reassessment of the structure or network, which depends substantially on the information available about the system. It is well known that available and continuously further developed NDT methods allow the collection of manifold information highly relevant in structural assessment. However, the condition (i.e., the quality) of the information measured on-site and the reliability of inspection systems need to be known before NDT results can be used in such safety-relevant calculations. This contribution attempts to shed light on the application of POD analyses and measurement uncertainty calculations in nondestructive testing of concrete structures to provide useful and quality-assured information for reliability assessments of our built environment—with an emphasis on ground penetrating radar. It is shown that signal processing techniques affect POD analysis results to varying degrees, that measurement uncertainties are useful to validate PODs, and that the utilization of both POD analysis and measurement uncertainty calculations can pave the way to NDT-based reliability assessment, which will be exemplarily demonstrated in conclusion—generally aiming to derive those maintenance strategies and actions that are in line with actual demands.",3,article,False,https://doi.org/10.1117/12.2658736,https://openalex.org/W4366977237,Tasks: deterioration
Development of a Variable-Frequency Hammering Method Using Acoustic Features for Damage-Type Identification,Xi Huang; Huang Huang; Zhishen Wu,2023,10.3390/app13031329,Applied Sciences,"Hammer testing, a nondestructive testing method, has been demonstrated to provide information on structural damage. One of the biggest challenges with this testing method is the simultaneous identification of surface, internal, and composite damage (consisting of both surface and internal damage) in a complex environment, such as post-disaster. A method of identification based on variable-frequency hammering is proposed to solve this problem. The importance and feasibility of using variable-frequency impact hammers and the generated acoustic data to identify multiple types of damage in concrete structures are presented. First, a type of variable-frequency hammering acoustic feature was generated using acoustic feature extraction and selection based on the acoustic data obtained from variable-frequency hammering. Second, a damage recognition model was established using a support vector machine to identify four types of damage occurring simultaneously in the same concrete member specimens, including a type of composite damage with two types of damage occurring simultaneously within 20 mm. Finally, the feasibility of this variable-frequency hammering method was verified experimentally. This method exhibited good performance, with an accuracy of 97.8%; moreover, the method ensures that the feature dimensionality remains unchanged while increasing the effective information of the data.",3,article,True,https://doi.org/10.3390/app13031329,https://openalex.org/W4317506807,Tasks: defects
Method for Quantitative Assessment of Moisture Content of Porous Building Materials Based on Measurement of Thermal Inertia with Active Infrared Thermography,Gianluca Cadelano; P. Bison; A. Bortolin; Marina Facci; Giovanni Ferrarini,2023,10.3390/engproc2023051019,,"The presence of moisture in masonry is crucial because it causes and exacerbates various deterioration mechanisms, such as crystallization of salts, mechanical stresses due to freeze–thaw cycles, biological degradation, etc. The assessment of the water content is critical for cultural heritage buildings; thus, on-site non-invasive techniques have been proposed over time. An innovative active thermographic procedure is proposed and tested in a laboratory to assess the amount of moisture via a non-destructive approach. The methodology is based on heating a brick specimen together with a reference sample which has known thermophysical properties. Evaporation is inhibited by an impermeable film applied to the samples. The trends in the surface temperatures of both materials are recorded using infrared thermography and compared with each other: the calculation of the thermal inertia of the wetted material is retrieved from the comparison of the temperature trends in both samples. The water content value is thus determined from the thermal inertia of the sample.",3,article,True,https://doi.org/10.3390/engproc2023051019,https://openalex.org/W4388078927,Tasks: moisture
The Georadar in the Evaluation of Reinforced Concrete Structures Affected by Corrosion,Javier Ballote Álvarez; Ernesto A. Hernández Martín; Orlando R. Carraz Hernández,2023,10.32629/jbt.v5i1.1127,Journal of Building Technology,"Ground Penetrating Radar (GPR) is a geophysical method that has several applications in the field of civil engineering, one of the largest fields being the evaluation of the technical state of the affected reinforced concrete structures by corrosion. In Cuba, this method has not been widely used as a non destructive test (NDT), largely due to the lack of knowledge of its potential in civil engineering. This article performs a critical analysis of some investigations in which the georadar is applied to evaluate the technical state of tunnels, bridges and buildings. The regulatory framework that protects the use of the georadar as NDT in the world and the applications that it has had so far in Cuba are addressed. The electromagnetic responses of the method to various injuries and causes that cause damage to reinforced concrete such as fractures, cavities, areas of humidity, chloride penetration and corrosion itself are also presented.",2,article,True,https://doi.org/10.32629/jbt.v5i1.1127,https://openalex.org/W4385432659,Tasks: deterioration
